month,country,know_ini,ambig_ini,day,date,jul_start_date,jul_end_date,day_span,n_injurd,tar_gpol,event,posthoc,ev_type,linked,loc_type,ad_viol,weap_grd,n_killed_a,e_length,n_injurd_d,dam_prop,arrests,per_atk_i,per_atk_e,pub_order,retribution,sc_animosity,anti_gov_sentmnts,class_conflict,pol_desires,retain_power,eco_scarcity,pers_security,coup,coup_failed,region,weapon,duration,s_month,s_day,weekday
7,Puerto Rico,1,FALSE,16,7/16/1950,1827,2191,365,0,FALSE,TRUE,FALSE,2,FALSE,27,FALSE,3,0,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,26,3,1,1,1
10,Puerto Rico,5,FALSE,16,10/16/1950,2100,2130,31,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,3,0,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,14,3,10,1,1
10,Puerto Rico,1,FALSE,16,10/16/1950,2100,2130,31,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,3,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,26,3,10,1,1
11,Puerto Rico,1,FALSE,16,11/16/1950,2129,2132,4,0,FALSE,TRUE,FALSE,4,FALSE,9,FALSE,1,0,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,30,2
7,Puerto Rico,1,FALSE,16,7/16/1959,5114,5478,365,0,FALSE,TRUE,FALSE,1,FALSE,27,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,1,5
10,Puerto Rico,1,FALSE,16,10/16/1969,9036,9045,10,0,FALSE,TRUE,FALSE,1,FALSE,18,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,2,9,27,7
10,Puerto Rico,1,FALSE,16,10/16/1969,9036,9045,10,0,FALSE,TRUE,FALSE,2,FALSE,18,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,2,9,27,7
10,Puerto Rico,1,FALSE,17,10/17/1969,9039,9045,7,0,FALSE,TRUE,FALSE,2,FALSE,18,FALSE,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,1,9,30,3
10,Puerto Rico,1,FALSE,9,10/9/1971,9776,9779,4,0,FALSE,TRUE,FALSE,1,FALSE,16,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,7,5
11,Puerto Rico,1,FALSE,16,11/16/1971,9801,9831,31,0,FALSE,TRUE,FALSE,1,FALSE,27,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,11,1,2
4,Puerto Rico,1,FALSE,13,4/13/1978,12054,12259,206,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,1,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,1,1
7,Puerto Rico,1,FALSE,16,7/16/1978,12054,12418,365,0,FALSE,TRUE,FALSE,4,TRUE,28,FALSE,3,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,14,3,1,1,1
12,Puerto Rico,1,FALSE,16,12/16/1979,12753,12783,31,0,FALSE,TRUE,FALSE,2,FALSE,4,FALSE,4,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,3,12,1,7
7,Puerto Rico,1,FALSE,16,7/16/1980,12784,13148,365,10,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,4,2,1,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,18,3,1,1,3
